X,Y,OBJECTID,TREE_ID,DATE_PLANTED,SUBURB,BOTANICAL_NAME,COMMON_NAME,FAMILY,TREE_HEIGHT,RARE_SPECIES,HISTORIC_SIGNIFICANCE,COMMUNITY_SIGNIFICANCE,SIGNIFICANT_GROUP,RETIRED
12896755.0048,-3757770.0051,12455,19272,2019/05/10 03:19:28+00,Perth,Eucalyptus camaldulensis,River Red Gum,Myrtaceae,,No,,No,No,
12896732.1758,-3757760.2597,12456,19273,2019/05/10 03:21:58+00,Perth,Eucalyptus rudis,Flooded Gum,Myrtaceae,,No,No,No,No,
12896722.7702,-3757756.9289,12457,19274,2019/05/10 03:21:45+00,Perth,Eucalyptus rudis,Flooded Gum,Myrtaceae,,No,No,No,No,
12896722.7991,-3757759.7101,12458,19275,2019/05/10 03:23:10+00,Perth,Eucalyptus rudis,Flooded Gum,Myrtaceae,,No,No,No,No,
12896686.7108,-3757755.6219,12459,19276,2019/05/10 03:19:28+00,Perth,Corymbia ficifolia (Hybrid),Red Flowering Gum (hybrid),Myrtaceae,,No,No,No,No,
12896676.4474,-3757759.0273,12460,19277,2019/05/10 03:19:28+00,Perth,Corymbia ficifolia (Hybrid),Red Flowering Gum (hybrid),Myrtaceae,,No,No,No,No,
12896584.9407,-3757877.0762,12461,19278,2019/05/10 03:22:48+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896571.794,-3757881.2436,12462,19279,2019/05/10 03:19:45+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896559.5108,-3757885.5149,12463,19280,2019/05/10 03:22:22+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896544.3497,-3757890.9743,12464,19281,2019/05/10 03:21:27+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896531.0763,-3757897.0218,12465,19282,2019/05/10 03:19:28+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896517.3521,-3757903.4551,12466,19283,2019/05/10 03:21:58+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896504.3513,-3757910.3694,12467,19284,2019/05/10 03:21:14+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896492.0176,-3757917.563,12468,19285,2019/05/10 03:23:25+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896479.6304,-3757925.2294,12469,19286,2019/05/10 03:24:06+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896466.7796,-3757934.4884,12470,19287,2019/05/10 03:24:06+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896456.0701,-3757942.3974,12471,19288,2019/05/10 03:19:45+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896444.7208,-3757952.9505,12472,19289,2019/05/10 03:23:43+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896433.5854,-3757962.5592,12473,19290,2019/05/10 03:21:14+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896422.4536,-3757972.7477,12474,19291,2019/05/10 03:20:51+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896412.665,-3757983.5896,12475,19292,2019/05/10 03:23:10+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896403.1007,-3757993.4162,12476,19293,2019/05/10 03:21:45+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896394.9032,-3758005.34,12477,19294,2019/05/10 03:20:21+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896386.7399,-3758017.7022,12478,19295,2019/05/10 03:21:14+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896378.0532,-3758029.9641,12479,19296,2019/05/10 03:21:45+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896369.6574,-3758042.2646,12480,19297,2019/05/10 03:20:38+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896361.4275,-3758052.6497,12481,19298,2019/05/10 03:22:22+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896354.0857,-3758066.3107,12482,19299,2019/05/10 03:23:43+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896345.9984,-3758077.9045,12483,19300,2019/05/10 03:24:19+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896338.6687,-3758091.3407,12484,19301,2019/05/10 03:19:28+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896330.9126,-3758102.8434,12485,19302,2019/05/10 03:22:22+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896323.4144,-3758116.5854,12486,19303,2019/05/10 03:21:14+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
12896316.9551,-3758129.4628,12487,19304,2019/05/10 03:23:43+00,Perth,Washingtonia robusta,Mexican Fan Palm,Arecaceae,,No,No,No,No,
